Epoch,Training loss,Validation loss
1,1.00493153789314,0.5039573592149605
2,0.5217553137201313,0.3526537158857968
3,0.41513340881919963,0.26030538894109806
4,0.36448889929099243,0.23041003247943975
5,0.3117625881624618,0.1967321124117253
6,0.27295536753907,0.1972112844429784
7,0.24587740382574483,0.1546279796383391
8,0.22237506148662634,0.1616718540346976
9,0.21099097887951507,0.1537213812234922
10,0.19477486335403213,0.14267908309791552
11,0.18178888449118308,0.1581050243733798
12,0.1698375968501865,0.14004929144314285
13,0.16081007640824774,0.16575304618484135
14,0.14889375477674271,0.12797430411407376
15,0.14674805198263624,0.14482233629135763
16,0.13870979354311005,0.14306109414388568
17,0.13120948105384406,0.13470971870030893
18,0.12039645199267078,0.13077727349285603
19,0.1158983697499023,0.11906225052741119
20,0.11259564816252761,0.12877885432187783
21,0.10862810866173349,0.12896244683484467
22,0.10023962248892501,0.11809814421033835
23,0.0791582308219281,0.12440417118477083
24,0.07315790976624043,0.11695349175222534
25,0.07690642252529531,0.1277459480314342
26,0.07319271830191643,0.12677410944420212
27,0.06622254528001557,0.13365860286827783
28,0.06654792815045259,0.12906371196830582
29,0.06710689386681452,0.13043824627490366
30,0.06159922121764745,0.1308718815300874
31,0.0626493090589439,0.13349512409985112
32,0.06317026793372935,0.12088610998047042
33,0.059206542409896624,0.13173201702183934
34,0.06160525252701808,0.13098411184984213
35,0.054729109976928765,0.1361473535450957
36,0.05555839695110448,0.126241507851203
37,0.05881070941078379,0.1449378957607886
38,0.05477957696640441,0.13614920952102816
39,0.054052474870078755,0.12971223784231786
40,0.055847228425881495,0.14236377543445194
